Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
25	-69.72773	14.971465	-43.17459	-84.79426	-74.24836	39.473812	-32.9461	-124.72954	1000.0	904.2	125000	-9.513894	18.269472	3.9209394	-119.329865	-9.513905	18.269726	3.9275203	-121.33897	9.06557	1.6806124	928.3849229812622
26	-54.5261	35.47157	-29.643248	-124.31137	-27.509527	27.755905	-13.461648	-110.13577	969.0	998.5	130000	-9.388579	17.821463	4.024533	-124.09075	-9.388342	17.82146	3.8890116	-121.22417	8.94728	1.5833963	969.4733428955078
27	-27.565924	9.994442	-19.993128	-46.765995	-31.258581	7.3178163	-14.382405	-44.996296	1000.0	1000.0	135000	-9.210728	17.541384	3.9217458	-124.49863	-9.210648	17.541616	4.321847	-121.60324	8.80474	1.5182234	1011.4078648090363
28	-31.890131	7.236539	-20.400764	-41.085598	-60.29378	37.054306	-23.885696	-125.1607	1000.0	890.3	140000	-9.011645	17.284616	4.444871	-126.26508	-9.01159	17.284805	4.489938	-124.73814	8.601718	1.4691643	1052.07705783844
29	-58.8331	13.78269	-36.714012	-75.36804	-34.830364	14.349046	-22.658398	-76.280106	980.0	1000.0	145000	-8.995839	17.113548	4.5977387	-119.39999	-8.995807	17.112946	4.8106794	-120.04546	8.61541	1.5616827	1093.5508680343628
30	-45.53633	27.144264	-23.862919	-105.058655	-52.108105	44.95714	-12.335308	-128.12866	910.0	727.5	150000	-8.91316	16.507046	4.226325	-119.59178	-8.913211	16.506369	4.112253	-121.794914	8.562556	1.4479259	1135.4533088207245
31	-85.429276	45.916767	-23.203587	-133.57959	-60.29182	41.681725	-21.064672	-114.81757	690.1429	742.9	155000	-9.044968	16.504747	3.5626507	-116.35682	-9.04487	16.50501	3.9087229	-118.78534	8.673517	1.4353715	1174.1866598129272
32	-44.6962	35.238262	-19.81647	-114.47027	-27.71641	9.304523	-17.030733	-41.608425	964.8	1000.0	160000	-8.985196	16.375093	3.4991632	-130.33815	-8.985242	16.375687	3.530507	-125.391075	8.6615715	1.3622344	1215.2829430103302
33	-61.34792	43.458958	-10.220856	-119.60549	-39.297512	11.627475	-16.67356	-57.330837	688.1429	1000.0	165000	-9.048721	16.648262	3.2603533	-122.93601	-9.048499	16.648273	4.4585257	-124.184685	8.736061	1.3720653	1256.3738157749176
34	-50.84751	31.58299	-28.42739	-113.339134	-12.59362	2.8396232	-8.460647	-18.959755	948.0	1000.0	170000	-9.013525	16.528816	3.5098548	-127.241264	-9.013632	16.528938	3.625796	-130.45108	8.680222	1.411938	1297.144670009613
35	-52.221455	35.25276	-32.24022	-130.73854	-15.174728	7.775368	-6.82376	-31.55395	968.5	1000.0	175000	-8.919505	16.223194	3.2065945	-126.13097	-8.919583	16.223764	3.0835016	-125.98413	8.605342	1.3302774	1343.3324790000916
36	-27.739193	11.882898	-17.691406	-50.005722	-8.127275	2.7747247	-4.046281	-13.07103	1000.0	1000.0	180000	-8.818778	16.01944	4.3505864	-124.16917	-8.818641	16.01933	3.4464378	-120.5826	8.476382	1.3474821	1384.9544248580933
37	-37.461617	8.549044	-26.559437	-49.36065	-35.383423	10.55087	-19.506895	-49.467922	1000.0	1000.0	185000	-8.703279	15.833218	3.7048922	-120.90486	-8.703282	15.83333	3.7458951	-123.04802	8.3642	1.2832484	1427.279688835144
38	-48.665485	40.061054	-19.63638	-128.14676	-9.23684	2.8762937	-5.2740545	-13.451667	947.6	1000.0	190000	-8.607736	15.603196	4.1968355	-117.98212	-8.607656	15.602705	3.389134	-118.74717	8.270689	1.2584288	1468.1761128902435
39	-38.36423	32.043922	-13.270426	-108.67147	-90.44418	44.63038	-19.228788	-130.75127	841.0	355.9	195000	-8.35395	15.270163	3.3014371	-119.7307	-8.353933	15.270266	3.3587446	-122.299675	8.072671	1.207748	1504.092141866684
40	-32.53179	25.98897	-16.264986	-84.288704	-14.079844	5.5744963	-2.3957908	-25.416187	1000.0	1000.0	200000	-8.212269	15.139329	2.667379	-118.3976	-8.212488	15.139722	2.6703918	-121.92117	7.9257236	1.1444523	1545.9881689548492
41	-18.469349	6.67339	-11.867186	-30.87745	-6.7387543	6.394531	-0.48338392	-17.685839	1000.0	1000.0	205000	-8.050492	15.14663	3.6397965	-119.824776	-8.050463	15.147107	4.0267563	-122.153824	7.724321	1.1477113	1588.1345059871674
42	-20.919855	6.618368	-11.292255	-31.959053	-8.042145	3.1210012	-2.6179502	-13.05923	1000.0	1000.0	210000	-7.856982	14.810717	7.238799	-118.40972	-7.856959	14.811121	5.824431	-116.927574	7.536791	1.1427939	1630.5100288391113
43	-16.24664	3.7533083	-12.021253	-22.194319	-20.495024	10.326987	-6.3836827	-47.46776	1000.0	1000.0	215000	-7.683601	14.727141	5.1307287	-120.183075	-7.683554	14.727507	3.729147	-125.07523	7.4251513	1.1283203	1672.2805309295654
44	-24.836706	10.455971	-13.494484	-40.99518	-21.82399	1.796739	-19.983847	-25.891544	1000.0	1000.0	220000	-7.5148225	14.551291	6.833591	-117.21184	-7.514868	14.551248	7.7662587	-116.07443	7.2449236	1.0676961	1714.7473831176758
45	-49.221474	38.475533	-18.254341	-123.7459	-2.539945	1.1545209	-1.4745352	-5.5925283	997.8	1000.0	225000	-7.3075533	14.3661785	6.746209	-120.88538	-7.307405	14.365892	6.320594	-120.410164	7.0089145	1.0764472	1757.3674459457397
46	-21.205898	8.651587	-8.583049	-29.650326	-12.986339	5.429778	-10.1145735	-29.13848	1000.0	1000.0	230000	-7.165351	14.291575	5.00568	-126.90061	-7.1653557	14.291681	5.267872	-124.25648	6.8455796	1.1548588	1799.8178029060364
47	-27.634674	5.430309	-21.533304	-36.917953	-24.004992	2.6758444	-20.253391	-29.581188	1000.0	1000.0	235000	-6.9126287	14.051521	6.437131	-124.86526	-6.912809	14.051641	5.5397243	-123.29988	6.630332	1.1444207	1842.0642130374908
48	-26.398159	4.8427987	-18.410175	-33.60257	-24.710909	9.912201	-14.100034	-42.428745	1000.0	1000.0	240000	-6.6815553	13.956594	5.7199883	-129.75136	-6.6814694	13.957018	6.201368	-133.426	6.3999424	1.1022506	1884.0259320735931
49	-28.501072	2.1064296	-24.419415	-30.195288	-35.808014	9.372652	-17.674942	-47.56606	1000.0	1000.0	245000	-6.55862	13.820525	5.9278393	-131.63382	-6.558534	13.820916	6.0144706	-133.66002	6.2752476	1.0769969	1927.2169380187988
50	-24.717367	6.2048798	-17.098736	-33.12984	-17.285076	10.226756	-8.636224	-35.513058	1000.0	1000.0	250000	-6.439893	13.552176	6.379099	-127.73318	-6.4396825	13.553192	5.729879	-129.57506	6.19281	1.0100858	1968.9145798683167
51	-27.092453	7.4917035	-16.886827	-36.60304	-31.974741	7.207026	-20.561928	-45.625286	1000.0	1000.0	255000	-6.3209567	13.590982	6.094582	-134.66345	-6.320955	13.591367	6.771443	-131.80278	6.0212	1.0576606	2010.7478268146515
52	-35.84293	3.8964753	-32.222992	-42.408222	-38.0135	9.510775	-20.05285	-52.690704	1000.0	1000.0	260000	-6.327546	13.594471	7.315643	-135.2107	-6.3274837	13.594132	6.3143477	-138.43495	6.032089	1.0132883	2052.5913429260254
53	-44.118782	9.782363	-32.836025	-57.48665	-59.657574	20.056911	-19.765087	-96.57962	1000.0	921.4	265000	-6.4735923	13.446719	5.977544	-133.43475	-6.4735065	13.44652	5.7731924	-134.44887	6.2369823	0.95820653	2094.1419887542725
54	-61.161774	26.982756	-39.54217	-112.64798	-39.749	9.941473	-11.963864	-47.720673	879.8	1000.0	270000	-6.5494285	13.319359	5.543434	-128.0192	-6.549454	13.31975	5.2559905	-130.32794	6.3126783	0.86233956	2133.1569368839264
55	-36.82632	3.5264542	-33.842686	-43.484978	-29.170242	5.5961804	-17.573671	-36.27055	1000.0	1000.0	275000	-6.618951	13.457058	5.0955296	-126.71501	-6.6188054	13.456959	4.7025237	-124.91936	6.374033	0.91279024	2175.757132768631
56	-29.753971	4.5640965	-22.923449	-35.772964	-16.096329	5.0479245	-9.959022	-25.398855	1000.0	1000.0	280000	-6.73271	13.593485	6.0859613	-137.16885	-6.732904	13.593394	5.3640842	-134.97043	6.4921913	0.94512695	2218.0404608249664
57	-25.924438	3.685958	-19.322075	-30.137562	-23.452827	2.8245654	-19.578867	-26.722683	1000.0	1000.0	285000	-6.685833	13.402695	5.668478	-128.49841	-6.6859784	13.403481	8.224215	-125.34027	6.461173	0.9376675	2260.393290042877
58	-25.950094	4.2758427	-21.079395	-33.15475	-36.38606	3.4197035	-29.907839	-39.87482	1000.0	1000.0	290000	-6.671169	13.17762	6.021387	-126.972885	-6.670975	13.177614	5.8133197	-132.26393	6.4774303	0.88036746	2302.9698786735535
59	-48.29896	38.636242	-19.146471	-132.43712	-28.705257	5.7871237	-13.718302	-36.54958	980.5	1000.0	295000	-6.7153883	13.077054	6.434117	-130.97711	-6.715284	13.077256	6.890508	-129.32437	6.470717	0.8830692	2350.2557628154755
60	-45.911774	31.970488	-24.50272	-109.251335	-27.367456	22.358555	-13.08478	-92.18179	894.2	920.4	300000	-6.7189727	13.189817	10.968255	-135.78226	-6.7188673	13.1903515	10.959239	-136.42056	6.5075717	0.9571365	2389.430568933487
