data/sac_auto_baseline_train/sac_auto_500_ez/sac_auto_500_ez_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579887683/progress.txt[0m
Episode 119 	 EpRet -46.457 	 EpLen 184
Episode 120 	 EpRet -74.125 	 EpLen 121
Episode 121 	 EpRet -89.153 	 EpLen 118
Episode 122 	 EpRet -76.358 	 EpLen 132
Episode 123 	 EpRet -60.210 	 EpLen 149
Episode 124 	 EpRet -71.829 	 EpLen 141
Episode 125 	 EpRet -74.304 	 EpLen 151
Episode 126 	 EpRet -89.889 	 EpLen 99
Episode 127 	 EpRet -69.789 	 EpLen 133
Episode 128 	 EpRet -90.490 	 EpLen 94
Episode 129 	 EpRet -76.045 	 EpLen 117
Episode 130 	 EpRet -76.648 	 EpLen 128
Episode 131 	 EpRet -53.350 	 EpLen 155
Episode 132 	 EpRet -82.167 	 EpLen 123
Episode 133 	 EpRet -73.147 	 EpLen 124
Episode 134 	 EpRet -75.790 	 EpLen 149
Episode 135 	 EpRet -68.998 	 EpLen 132
Episode 136 	 EpRet -67.911 	 EpLen 145
Episode 137 	 EpRet -66.113 	 EpLen 158
Episode 138 	 EpRet -89.205 	 EpLen 105
Episode 139 	 EpRet -80.138 	 EpLen 125
Episode 140 	 EpRet -90.747 	 EpLen 96
Episode 141 	 EpRet -67.677 	 EpLen 141
Episode 142 	 EpRet -89.101 	 EpLen 147
Episode 143 	 EpRet -70.377 	 EpLen 139
Episode 144 	 EpRet -74.755 	 EpLen 139
Episode 145 	 EpRet -64.955 	 EpLen 148
Episode 146 	 EpRet -86.706 	 EpLen 121
Episode 147 	 EpRet -90.515 	 EpLen 82
Episode 148 	 EpRet -90.125 	 EpLen 95
Episode 149 	 EpRet -82.424 	 EpLen 99
Episode 150 	 EpRet -88.371 	 EpLen 133
Episode 151 	 EpRet -76.303 	 EpLen 136
Episode 152 	 EpRet -90.094 	 EpLen 94
Episode 153 	 EpRet -84.967 	 EpLen 90
Episode 154 	 EpRet -66.161 	 EpLen 149
Episode 155 	 EpRet -68.604 	 EpLen 131
Episode 156 	 EpRet -82.449 	 EpLen 98
Episode 157 	 EpRet -81.136 	 EpLen 118
Episode 158 	 EpRet -94.337 	 EpLen 127
Episode 159 	 EpRet -89.423 	 EpLen 90
Episode 160 	 EpRet -75.353 	 EpLen 120
Episode 161 	 EpRet -82.672 	 EpLen 105
Episode 162 	 EpRet -73.178 	 EpLen 125
Episode 163 	 EpRet -90.749 	 EpLen 75
Episode 164 	 EpRet -59.547 	 EpLen 144
Episode 165 	 EpRet -32.855 	 EpLen 228
Episode 166 	 EpRet -89.127 	 EpLen 83
Episode 167 	 EpRet -90.934 	 EpLen 93
Episode 168 	 EpRet -66.826 	 EpLen 140
Episode 169 	 EpRet -91.154 	 EpLen 76
Episode 170 	 EpRet -98.314 	 EpLen 89
Episode 171 	 EpRet -70.677 	 EpLen 129
Episode 172 	 EpRet -77.575 	 EpLen 133
Episode 173 	 EpRet -89.739 	 EpLen 115
Episode 174 	 EpRet -80.723 	 EpLen 104
Episode 175 	 EpRet -77.186 	 EpLen 133
Episode 176 	 EpRet -89.366 	 EpLen 97
Episode 177 	 EpRet -67.280 	 EpLen 148
Episode 178 	 EpRet -91.044 	 EpLen 77
Episode 179 	 EpRet -91.517 	 EpLen 122
Episode 180 	 EpRet -78.645 	 EpLen 123
Episode 181 	 EpRet -99.423 	 EpLen 134
Episode 182 	 EpRet -69.914 	 EpLen 144
Episode 183 	 EpRet -89.216 	 EpLen 91
Episode 184 	 EpRet -69.632 	 EpLen 127
Episode 185 	 EpRet -73.074 	 EpLen 121
Episode 186 	 EpRet -89.015 	 EpLen 117
Episode 187 	 EpRet -86.208 	 EpLen 112
Episode 188 	 EpRet -70.384 	 EpLen 140
Episode 189 	 EpRet -73.255 	 EpLen 124
Episode 190 	 EpRet -74.092 	 EpLen 119
Episode 191 	 EpRet -101.803 	 EpLen 143
Episode 192 	 EpRet -79.576 	 EpLen 107
Episode 193 	 EpRet -61.781 	 EpLen 158
Episode 194 	 EpRet -67.571 	 EpLen 145
Episode 195 	 EpRet -86.242 	 EpLen 94
Episode 196 	 EpRet -88.112 	 EpLen 94
Episode 197 	 EpRet -74.040 	 EpLen 155
Episode 198 	 EpRet -83.657 	 EpLen 136
Episode 199 	 EpRet -88.800 	 EpLen 89
Episode 200 	 EpRet -52.658 	 EpLen 156
Episode 201 	 EpRet -74.839 	 EpLen 146
Episode 202 	 EpRet -89.680 	 EpLen 91
Episode 203 	 EpRet -79.798 	 EpLen 120
Episode 204 	 EpRet -89.272 	 EpLen 80
Episode 205 	 EpRet -71.131 	 EpLen 126
Episode 206 	 EpRet -97.379 	 EpLen 134
Episode 207 	 EpRet -86.325 	 EpLen 91
Episode 208 	 EpRet -69.752 	 EpLen 145
Episode 209 	 EpRet -89.643 	 EpLen 80
Episode 210 	 EpRet -89.390 	 EpLen 91
Episode 211 	 EpRet -40.164 	 EpLen 198
Episode 212 	 EpRet -84.550 	 EpLen 109
Episode 213 	 EpRet -85.151 	 EpLen 98
Episode 214 	 EpRet -87.784 	 EpLen 87
Episode 215 	 EpRet -80.002 	 EpLen 115
Episode 216 	 EpRet -68.534 	 EpLen 136
Episode 217 	 EpRet -89.464 	 EpLen 97
Episode 218 	 EpRet -81.167 	 EpLen 101
Episode 219 	 EpRet -81.785 	 EpLen 96
Episode 220 	 EpRet -90.285 	 EpLen 78
Episode 221 	 EpRet -84.416 	 EpLen 95
Episode 222 	 EpRet -73.485 	 EpLen 121
Episode 223 	 EpRet -91.708 	 EpLen 79
Episode 224 	 EpRet -86.697 	 EpLen 110
Episode 225 	 EpRet -101.211 	 EpLen 129
Episode 226 	 EpRet -69.839 	 EpLen 133
Episode 227 	 EpRet -71.754 	 EpLen 126
Episode 228 	 EpRet -89.136 	 EpLen 127
Episode 229 	 EpRet -95.560 	 EpLen 136
Episode 230 	 EpRet -89.681 	 EpLen 115
Episode 231 	 EpRet -70.194 	 EpLen 139
Episode 232 	 EpRet -74.765 	 EpLen 119
Episode 233 	 EpRet -84.027 	 EpLen 115
Episode 234 	 EpRet -86.972 	 EpLen 135
Episode 235 	 EpRet -59.008 	 EpLen 146
Episode 236 	 EpRet -78.483 	 EpLen 112
Episode 237 	 EpRet -79.418 	 EpLen 104
Episode 238 	 EpRet -75.317 	 EpLen 143
Episode 239 	 EpRet -85.307 	 EpLen 93
Episode 240 	 EpRet -83.438 	 EpLen 93
Episode 241 	 EpRet -67.064 	 EpLen 132
Episode 242 	 EpRet -80.620 	 EpLen 108
Episode 243 	 EpRet -74.243 	 EpLen 140
Episode 244 	 EpRet -100.212 	 EpLen 122
Episode 245 	 EpRet -91.671 	 EpLen 131
Episode 246 	 EpRet -70.889 	 EpLen 143
Episode 247 	 EpRet -87.116 	 EpLen 120
Episode 248 	 EpRet -80.807 	 EpLen 116
Episode 249 	 EpRet -86.886 	 EpLen 91
Episode 250 	 EpRet -73.002 	 EpLen 117
Episode 251 	 EpRet -80.650 	 EpLen 102
Episode 252 	 EpRet -79.253 	 EpLen 112
Episode 253 	 EpRet -93.693 	 EpLen 71
Episode 254 	 EpRet -78.050 	 EpLen 108
Episode 255 	 EpRet -76.499 	 EpLen 120
Episode 256 	 EpRet -83.447 	 EpLen 94
Episode 257 	 EpRet -70.326 	 EpLen 128
Episode 258 	 EpRet -68.808 	 EpLen 130
Episode 259 	 EpRet -88.737 	 EpLen 124
Episode 260 	 EpRet -88.953 	 EpLen 82
Episode 261 	 EpRet -89.111 	 EpLen 90
Episode 262 	 EpRet -88.374 	 EpLen 94
Episode 263 	 EpRet -88.934 	 EpLen 79
Episode 264 	 EpRet -66.422 	 EpLen 137
Episode 265 	 EpRet -64.507 	 EpLen 148
Episode 266 	 EpRet -68.753 	 EpLen 131
Episode 267 	 EpRet -85.952 	 EpLen 89
Episode 268 	 EpRet -77.803 	 EpLen 145
Episode 269 	 EpRet -80.540 	 EpLen 105
Episode 270 	 EpRet -77.226 	 EpLen 118
Episode 271 	 EpRet -89.173 	 EpLen 79
Episode 272 	 EpRet -60.552 	 EpLen 152
Episode 273 	 EpRet -80.293 	 EpLen 106
Episode 274 	 EpRet -90.222 	 EpLen 97
Episode 275 	 EpRet -90.259 	 EpLen 131
Episode 276 	 EpRet -92.399 	 EpLen 74
Episode 277 	 EpRet -92.154 	 EpLen 135
Episode 278 	 EpRet -66.768 	 EpLen 140
Episode 279 	 EpRet -87.651 	 EpLen 110
Episode 280 	 EpRet -91.698 	 EpLen 107
Episode 281 	 EpRet -61.793 	 EpLen 166
Episode 282 	 EpRet -90.404 	 EpLen 119
Episode 283 	 EpRet -78.837 	 EpLen 134
Episode 284 	 EpRet -67.468 	 EpLen 130
Episode 285 	 EpRet -90.138 	 EpLen 81
Episode 286 	 EpRet -91.267 	 EpLen 76
Episode 287 	 EpRet -57.213 	 EpLen 164
Episode 288 	 EpRet -82.010 	 EpLen 93
Episode 289 	 EpRet -58.174 	 EpLen 155
Episode 290 	 EpRet -88.240 	 EpLen 132
Episode 291 	 EpRet -80.527 	 EpLen 123
Episode 292 	 EpRet -83.575 	 EpLen 95
Episode 293 	 EpRet -83.919 	 EpLen 97
Episode 294 	 EpRet -64.875 	 EpLen 148
Episode 295 	 EpRet -88.463 	 EpLen 107
Episode 296 	 EpRet -81.622 	 EpLen 131
Episode 297 	 EpRet -82.973 	 EpLen 118
Episode 298 	 EpRet -83.137 	 EpLen 92
Episode 299 	 EpRet -74.121 	 EpLen 120
Episode 300 	 EpRet -94.448 	 EpLen 171
Episode 301 	 EpRet -86.430 	 EpLen 87
Episode 302 	 EpRet -91.291 	 EpLen 130
Episode 303 	 EpRet -74.762 	 EpLen 142
Episode 304 	 EpRet -90.213 	 EpLen 82
Episode 305 	 EpRet -86.079 	 EpLen 92
Episode 306 	 EpRet -82.298 	 EpLen 113
Episode 307 	 EpRet -83.137 	 EpLen 122
Episode 308 	 EpRet -84.775 	 EpLen 94
Episode 309 	 EpRet -93.359 	 EpLen 133
Episode 310 	 EpRet -65.630 	 EpLen 137
Episode 311 	 EpRet -85.596 	 EpLen 129
Episode 312 	 EpRet -89.830 	 EpLen 94
Episode 313 	 EpRet -80.561 	 EpLen 117
Episode 314 	 EpRet -80.966 	 EpLen 107
Episode 315 	 EpRet -74.342 	 EpLen 118
Episode 316 	 EpRet -69.156 	 EpLen 129
Episode 317 	 EpRet -92.178 	 EpLen 101
Episode 318 	 EpRet -99.423 	 EpLen 137
Episode 319 	 EpRet -86.402 	 EpLen 137
Episode 320 	 EpRet -93.934 	 EpLen 130
Episode 321 	 EpRet -74.909 	 EpLen 126
Episode 322 	 EpRet -89.481 	 EpLen 81
Episode 323 	 EpRet -88.401 	 EpLen 98
Episode 324 	 EpRet -80.556 	 EpLen 123
Episode 325 	 EpRet -86.940 	 EpLen 112
Episode 326 	 EpRet -101.596 	 EpLen 130
Episode 327 	 EpRet -78.352 	 EpLen 108
Episode 328 	 EpRet -88.215 	 EpLen 93
Episode 329 	 EpRet -85.474 	 EpLen 96
Episode 330 	 EpRet -88.909 	 EpLen 111
Episode 331 	 EpRet -89.943 	 EpLen 94
Episode 332 	 EpRet -82.754 	 EpLen 113
Episode 333 	 EpRet -89.661 	 EpLen 91
Episode 334 	 EpRet -47.423 	 EpLen 172
Episode 335 	 EpRet -89.124 	 EpLen 84
Episode 336 	 EpRet -88.631 	 EpLen 143
Episode 337 	 EpRet -92.929 	 EpLen 70
Episode 338 	 EpRet -83.953 	 EpLen 94
Episode 339 	 EpRet -90.005 	 EpLen 95
Episode 340 	 EpRet -89.353 	 EpLen 86
Episode 341 	 EpRet -90.659 	 EpLen 91
Episode 342 	 EpRet -86.562 	 EpLen 121
Episode 343 	 EpRet -73.570 	 EpLen 145
Episode 344 	 EpRet -92.199 	 EpLen 76
Episode 345 	 EpRet -99.899 	 EpLen 141
Episode 346 	 EpRet -100.658 	 EpLen 131
Episode 347 	 EpRet -91.375 	 EpLen 128
Episode 348 	 EpRet -76.302 	 EpLen 115
Episode 349 	 EpRet -87.410 	 EpLen 123
Episode 350 	 EpRet -89.271 	 EpLen 113
Episode 351 	 EpRet -97.677 	 EpLen 120
Episode 352 	 EpRet -81.196 	 EpLen 121
Episode 353 	 EpRet -85.112 	 EpLen 119
Episode 354 	 EpRet -77.100 	 EpLen 132
Episode 355 	 EpRet -73.926 	 EpLen 124
Episode 356 	 EpRet -89.158 	 EpLen 100
Episode 357 	 EpRet -91.633 	 EpLen 127
Episode 358 	 EpRet -72.169 	 EpLen 125
Episode 359 	 EpRet -88.956 	 EpLen 94
Episode 360 	 EpRet -73.960 	 EpLen 124
Episode 361 	 EpRet -80.028 	 EpLen 122
Episode 362 	 EpRet -85.964 	 EpLen 93
Episode 363 	 EpRet -91.214 	 EpLen 76
Episode 364 	 EpRet -84.343 	 EpLen 96
Episode 365 	 EpRet -88.968 	 EpLen 78
Episode 366 	 EpRet -91.111 	 EpLen 79
Episode 367 	 EpRet -86.841 	 EpLen 96
Episode 368 	 EpRet -72.736 	 EpLen 135
Episode 369 	 EpRet -86.510 	 EpLen 97
Episode 370 	 EpRet -70.645 	 EpLen 136
Episode 371 	 EpRet -84.999 	 EpLen 100
Episode 372 	 EpRet -88.974 	 EpLen 129
Episode 373 	 EpRet -67.030 	 EpLen 132
Episode 374 	 EpRet -80.094 	 EpLen 109
Episode 375 	 EpRet -81.811 	 EpLen 126
Episode 376 	 EpRet -89.790 	 EpLen 77
Episode 377 	 EpRet -103.172 	 EpLen 137
Episode 378 	 EpRet -83.297 	 EpLen 123
Episode 379 	 EpRet -81.050 	 EpLen 99
Episode 380 	 EpRet -74.072 	 EpLen 125
Episode 381 	 EpRet -91.593 	 EpLen 83
Episode 382 	 EpRet -68.125 	 EpLen 135
Episode 383 	 EpRet -89.910 	 EpLen 92
Episode 384 	 EpRet -96.245 	 EpLen 126
Episode 385 	 EpRet -93.136 	 EpLen 76
Episode 386 	 EpRet -74.100 	 EpLen 143
Episode 387 	 EpRet -91.827 	 EpLen 79
Episode 388 	 EpRet -88.435 	 EpLen 83
Episode 389 	 EpRet -84.804 	 EpLen 90
Episode 390 	 EpRet -76.903 	 EpLen 117
Episode 391 	 EpRet -99.996 	 EpLen 130
Episode 392 	 EpRet -69.558 	 EpLen 145
Episode 393 	 EpRet -90.655 	 EpLen 97
Episode 394 	 EpRet -87.964 	 EpLen 116
Episode 395 	 EpRet -75.481 	 EpLen 115
Episode 396 	 EpRet -70.589 	 EpLen 124
Episode 397 	 EpRet -89.580 	 EpLen 79
Episode 398 	 EpRet -72.529 	 EpLen 161
Episode 399 	 EpRet -93.233 	 EpLen 74
Episode 400 	 EpRet -57.384 	 EpLen 165
Episode 401 	 EpRet -89.624 	 EpLen 90
Episode 402 	 EpRet -80.056 	 EpLen 104
Episode 403 	 EpRet -75.565 	 EpLen 113
Episode 404 	 EpRet -76.637 	 EpLen 111
Episode 405 	 EpRet -77.797 	 EpLen 115
Episode 406 	 EpRet -76.987 	 EpLen 148
Episode 407 	 EpRet -76.120 	 EpLen 120
Episode 408 	 EpRet -82.767 	 EpLen 139
Episode 409 	 EpRet -89.649 	 EpLen 129
Episode 410 	 EpRet -100.698 	 EpLen 139
Episode 411 	 EpRet -46.316 	 EpLen 172
Episode 412 	 EpRet -80.068 	 EpLen 108
Episode 413 	 EpRet -90.870 	 EpLen 78
Episode 414 	 EpRet -75.987 	 EpLen 124
Episode 415 	 EpRet -82.101 	 EpLen 94
Episode 416 	 EpRet -88.813 	 EpLen 92
Episode 417 	 EpRet -91.220 	 EpLen 98
Episode 418 	 EpRet -64.399 	 EpLen 149
Episode 419 	 EpRet -90.621 	 EpLen 131
Episode 420 	 EpRet -64.409 	 EpLen 142
Episode 421 	 EpRet -78.423 	 EpLen 116
Episode 422 	 EpRet -89.829 	 EpLen 106
Episode 423 	 EpRet -95.175 	 EpLen 77
Episode 424 	 EpRet -89.904 	 EpLen 90
Episode 425 	 EpRet -91.132 	 EpLen 79
Episode 426 	 EpRet -79.391 	 EpLen 105
Episode 427 	 EpRet -89.547 	 EpLen 92
Episode 428 	 EpRet -97.925 	 EpLen 140
Episode 429 	 EpRet -74.305 	 EpLen 119
Episode 430 	 EpRet -98.205 	 EpLen 126
Episode 431 	 EpRet -99.504 	 EpLen 126
Episode 432 	 EpRet -80.936 	 EpLen 101
Episode 433 	 EpRet -91.282 	 EpLen 75
Episode 434 	 EpRet -102.448 	 EpLen 143
Episode 435 	 EpRet -70.240 	 EpLen 128
Episode 436 	 EpRet -71.026 	 EpLen 155
Episode 437 	 EpRet -85.366 	 EpLen 95
