data/sac_auto_baseline_train/sac_auto_500_ez/sac_auto_500_ez_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579887760/progress.txt[0m
Episode 119 	 EpRet 320.570 	 EpLen 719
Episode 120 	 EpRet 320.619 	 EpLen 720
Episode 121 	 EpRet 320.077 	 EpLen 718
Episode 122 	 EpRet 321.293 	 EpLen 715
Episode 123 	 EpRet 321.693 	 EpLen 711
Episode 124 	 EpRet 321.424 	 EpLen 713
Episode 125 	 EpRet 321.071 	 EpLen 719
Episode 126 	 EpRet 320.699 	 EpLen 718
Episode 127 	 EpRet 320.127 	 EpLen 713
Episode 128 	 EpRet 320.365 	 EpLen 721
Episode 129 	 EpRet 321.146 	 EpLen 710
Episode 130 	 EpRet 320.794 	 EpLen 719
Episode 131 	 EpRet 321.466 	 EpLen 711
Episode 132 	 EpRet 320.808 	 EpLen 722
Episode 133 	 EpRet 320.534 	 EpLen 713
Episode 134 	 EpRet 321.017 	 EpLen 710
Episode 135 	 EpRet 320.221 	 EpLen 716
Episode 136 	 EpRet 320.910 	 EpLen 715
Episode 137 	 EpRet 319.688 	 EpLen 721
Episode 138 	 EpRet 320.316 	 EpLen 718
Episode 139 	 EpRet 321.202 	 EpLen 714
Episode 140 	 EpRet 321.054 	 EpLen 712
Episode 141 	 EpRet 320.292 	 EpLen 723
Episode 142 	 EpRet 321.899 	 EpLen 715
Episode 143 	 EpRet 321.048 	 EpLen 715
Episode 144 	 EpRet 320.347 	 EpLen 718
Episode 145 	 EpRet 319.626 	 EpLen 717
Episode 146 	 EpRet 319.623 	 EpLen 715
Episode 147 	 EpRet 321.423 	 EpLen 718
Episode 148 	 EpRet 321.058 	 EpLen 714
Episode 149 	 EpRet 320.718 	 EpLen 717
Episode 150 	 EpRet 320.434 	 EpLen 710
Episode 151 	 EpRet 320.069 	 EpLen 718
Episode 152 	 EpRet 321.259 	 EpLen 709
Episode 153 	 EpRet 320.345 	 EpLen 713
Episode 154 	 EpRet 319.563 	 EpLen 718
Episode 155 	 EpRet 320.291 	 EpLen 715
Episode 156 	 EpRet 320.940 	 EpLen 710
Episode 157 	 EpRet 321.747 	 EpLen 711
Episode 158 	 EpRet 320.248 	 EpLen 711
Episode 159 	 EpRet 320.203 	 EpLen 718
Episode 160 	 EpRet 321.095 	 EpLen 714
Episode 161 	 EpRet 320.300 	 EpLen 715
Episode 162 	 EpRet 320.571 	 EpLen 710
Episode 163 	 EpRet 319.899 	 EpLen 710
Episode 164 	 EpRet 321.610 	 EpLen 706
Episode 165 	 EpRet 322.067 	 EpLen 708
Episode 166 	 EpRet 322.260 	 EpLen 715
Episode 167 	 EpRet 320.151 	 EpLen 713
Episode 168 	 EpRet 321.092 	 EpLen 716
Episode 169 	 EpRet 320.674 	 EpLen 708
Episode 170 	 EpRet 319.587 	 EpLen 716
Episode 171 	 EpRet 321.485 	 EpLen 717
Episode 172 	 EpRet 321.447 	 EpLen 708
Episode 173 	 EpRet 321.446 	 EpLen 711
Episode 174 	 EpRet 320.601 	 EpLen 717
Episode 175 	 EpRet 320.987 	 EpLen 716
Episode 176 	 EpRet 320.958 	 EpLen 716
Episode 177 	 EpRet 321.646 	 EpLen 714
Episode 178 	 EpRet 321.647 	 EpLen 718
Episode 179 	 EpRet 320.266 	 EpLen 715
Episode 180 	 EpRet 320.928 	 EpLen 713
Episode 181 	 EpRet 320.480 	 EpLen 715
Episode 182 	 EpRet 320.258 	 EpLen 715
Episode 183 	 EpRet 321.016 	 EpLen 718
Episode 184 	 EpRet 320.743 	 EpLen 722
Episode 185 	 EpRet 319.836 	 EpLen 718
Episode 186 	 EpRet 322.512 	 EpLen 709
Episode 187 	 EpRet 321.184 	 EpLen 717
Episode 188 	 EpRet 320.436 	 EpLen 718
Episode 189 	 EpRet 321.289 	 EpLen 717
Episode 190 	 EpRet 320.731 	 EpLen 715
Episode 191 	 EpRet 321.619 	 EpLen 713
Episode 192 	 EpRet 321.078 	 EpLen 711
Episode 193 	 EpRet 320.252 	 EpLen 713
Episode 194 	 EpRet 321.040 	 EpLen 721
Episode 195 	 EpRet 321.708 	 EpLen 718
Episode 196 	 EpRet 319.924 	 EpLen 720
Episode 197 	 EpRet 319.477 	 EpLen 724
Episode 198 	 EpRet 320.423 	 EpLen 717
Episode 199 	 EpRet 321.878 	 EpLen 713
Episode 200 	 EpRet 320.768 	 EpLen 711
Episode 201 	 EpRet 319.751 	 EpLen 720
Episode 202 	 EpRet 320.169 	 EpLen 710
Episode 203 	 EpRet 320.579 	 EpLen 715
Episode 204 	 EpRet 321.498 	 EpLen 706
Episode 205 	 EpRet 321.119 	 EpLen 714
Episode 206 	 EpRet 321.289 	 EpLen 712
Episode 207 	 EpRet 322.016 	 EpLen 712
Episode 208 	 EpRet 321.426 	 EpLen 717
Episode 209 	 EpRet 320.560 	 EpLen 718
Episode 210 	 EpRet 321.090 	 EpLen 721
Episode 211 	 EpRet 321.243 	 EpLen 714
Episode 212 	 EpRet 320.611 	 EpLen 724
Episode 213 	 EpRet 320.394 	 EpLen 714
Episode 214 	 EpRet 321.785 	 EpLen 714
Episode 215 	 EpRet 320.557 	 EpLen 717
Episode 216 	 EpRet 321.839 	 EpLen 715
Episode 217 	 EpRet 321.372 	 EpLen 708
Episode 218 	 EpRet 321.296 	 EpLen 712
Episode 219 	 EpRet 321.051 	 EpLen 714
Episode 220 	 EpRet 321.339 	 EpLen 714
Episode 221 	 EpRet 321.145 	 EpLen 715
Episode 222 	 EpRet 320.723 	 EpLen 715
Episode 223 	 EpRet 319.823 	 EpLen 716
Episode 224 	 EpRet 320.956 	 EpLen 718
Episode 225 	 EpRet 320.764 	 EpLen 718
Episode 226 	 EpRet 320.553 	 EpLen 712
Episode 227 	 EpRet 320.438 	 EpLen 715
Episode 228 	 EpRet 319.902 	 EpLen 715
Episode 229 	 EpRet 320.894 	 EpLen 719
Episode 230 	 EpRet 320.725 	 EpLen 721
Episode 231 	 EpRet 321.048 	 EpLen 715
Episode 232 	 EpRet 321.425 	 EpLen 710
Episode 233 	 EpRet 321.817 	 EpLen 711
Episode 234 	 EpRet 321.356 	 EpLen 713
Episode 235 	 EpRet 321.915 	 EpLen 708
Episode 236 	 EpRet 320.738 	 EpLen 714
