data/sac_auto_baseline_train/sac_auto_500_hc/sac_auto_500_hc_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579888096/progress.txt[0m
Episode 116 	 EpRet -52.926 	 EpLen 2000
Episode 117 	 EpRet -16.190 	 EpLen 2000
Episode 118 	 EpRet -62.890 	 EpLen 2000
Episode 119 	 EpRet -68.369 	 EpLen 2000
Episode 120 	 EpRet 6.565 	 EpLen 2000
Episode 121 	 EpRet 143.263 	 EpLen 2000
Episode 122 	 EpRet 7.929 	 EpLen 2000
Episode 123 	 EpRet -44.154 	 EpLen 2000
Episode 124 	 EpRet -54.312 	 EpLen 2000
Episode 125 	 EpRet 267.772 	 EpLen 1450
Episode 126 	 EpRet 150.729 	 EpLen 2000
Episode 127 	 EpRet 16.479 	 EpLen 2000
Episode 128 	 EpRet -141.883 	 EpLen 2000
Episode 129 	 EpRet -75.084 	 EpLen 2000
Episode 130 	 EpRet -2.677 	 EpLen 2000
Episode 131 	 EpRet -39.432 	 EpLen 2000
Episode 132 	 EpRet -134.527 	 EpLen 838
Episode 133 	 EpRet -28.623 	 EpLen 2000
Episode 134 	 EpRet -9.029 	 EpLen 2000
Episode 135 	 EpRet -52.962 	 EpLen 2000
Episode 136 	 EpRet 162.046 	 EpLen 2000
Episode 137 	 EpRet -42.643 	 EpLen 713
Episode 138 	 EpRet -27.810 	 EpLen 2000
Episode 139 	 EpRet 46.844 	 EpLen 2000
Episode 140 	 EpRet -39.102 	 EpLen 2000
Episode 141 	 EpRet 56.645 	 EpLen 2000
Episode 142 	 EpRet -79.235 	 EpLen 2000
Episode 143 	 EpRet 22.148 	 EpLen 2000
Episode 144 	 EpRet -21.643 	 EpLen 2000
Episode 145 	 EpRet -26.192 	 EpLen 997
Episode 146 	 EpRet -34.822 	 EpLen 2000
Episode 147 	 EpRet -30.851 	 EpLen 2000
Episode 148 	 EpRet -40.642 	 EpLen 2000
Episode 149 	 EpRet -86.628 	 EpLen 521
Episode 150 	 EpRet -55.579 	 EpLen 2000
Episode 151 	 EpRet -80.137 	 EpLen 2000
Episode 152 	 EpRet -12.651 	 EpLen 2000
Episode 153 	 EpRet -46.296 	 EpLen 2000
Episode 154 	 EpRet -63.935 	 EpLen 2000
Episode 155 	 EpRet -75.687 	 EpLen 372
Episode 156 	 EpRet -65.143 	 EpLen 2000
Episode 157 	 EpRet 3.800 	 EpLen 2000
Episode 158 	 EpRet -35.449 	 EpLen 2000
Episode 159 	 EpRet -45.459 	 EpLen 2000
Episode 160 	 EpRet -64.967 	 EpLen 2000
Episode 161 	 EpRet -43.862 	 EpLen 2000
Episode 162 	 EpRet -96.559 	 EpLen 172
Episode 163 	 EpRet -36.234 	 EpLen 2000
Episode 164 	 EpRet -12.371 	 EpLen 584
Episode 165 	 EpRet -65.879 	 EpLen 2000
Episode 166 	 EpRet -41.473 	 EpLen 2000
Episode 167 	 EpRet -112.540 	 EpLen 523
Episode 168 	 EpRet -60.464 	 EpLen 2000
Episode 169 	 EpRet -77.458 	 EpLen 405
Episode 170 	 EpRet -42.323 	 EpLen 2000
Episode 171 	 EpRet 120.503 	 EpLen 2000
Episode 172 	 EpRet -75.637 	 EpLen 2000
Episode 173 	 EpRet 33.614 	 EpLen 2000
Episode 174 	 EpRet 77.543 	 EpLen 2000
Episode 175 	 EpRet 70.300 	 EpLen 2000
Episode 176 	 EpRet 82.981 	 EpLen 1460
Episode 177 	 EpRet -34.242 	 EpLen 2000
Episode 178 	 EpRet 73.282 	 EpLen 2000
Episode 179 	 EpRet -73.681 	 EpLen 2000
Episode 180 	 EpRet 125.641 	 EpLen 2000
Episode 181 	 EpRet 165.986 	 EpLen 2000
Episode 182 	 EpRet 20.631 	 EpLen 2000
Episode 183 	 EpRet 100.887 	 EpLen 2000
Episode 184 	 EpRet -47.770 	 EpLen 2000
Episode 185 	 EpRet -28.567 	 EpLen 2000
Episode 186 	 EpRet -6.650 	 EpLen 2000
Episode 187 	 EpRet -51.373 	 EpLen 2000
Episode 188 	 EpRet -18.404 	 EpLen 2000
Episode 189 	 EpRet -46.470 	 EpLen 2000
Episode 190 	 EpRet -118.751 	 EpLen 1010
Episode 191 	 EpRet -27.452 	 EpLen 2000
Episode 192 	 EpRet -95.318 	 EpLen 2000
