data/sac_auto_baseline_train/sac_auto_500_hc/sac_auto_500_hc_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579888946/progress.txt[0m
Episode 115 	 EpRet 268.671 	 EpLen 1301
Episode 116 	 EpRet 269.620 	 EpLen 1291
Episode 117 	 EpRet 280.507 	 EpLen 1199
Episode 118 	 EpRet 264.581 	 EpLen 1381
Episode 119 	 EpRet 266.699 	 EpLen 1301
Episode 120 	 EpRet 262.164 	 EpLen 1376
Episode 121 	 EpRet 272.285 	 EpLen 1270
Episode 122 	 EpRet 265.813 	 EpLen 1327
Episode 123 	 EpRet 270.778 	 EpLen 1306
Episode 124 	 EpRet 271.984 	 EpLen 1300
Episode 125 	 EpRet 273.071 	 EpLen 1288
Episode 126 	 EpRet 270.948 	 EpLen 1289
Episode 127 	 EpRet 264.163 	 EpLen 1371
Episode 128 	 EpRet 272.673 	 EpLen 1284
Episode 129 	 EpRet 267.514 	 EpLen 1328
Episode 130 	 EpRet 271.135 	 EpLen 1315
Episode 131 	 EpRet 277.287 	 EpLen 1231
Episode 132 	 EpRet 273.397 	 EpLen 1243
Episode 133 	 EpRet 266.219 	 EpLen 1360
Episode 134 	 EpRet 264.433 	 EpLen 1357
Episode 135 	 EpRet 271.022 	 EpLen 1289
Episode 136 	 EpRet 273.526 	 EpLen 1284
Episode 137 	 EpRet 268.163 	 EpLen 1356
Episode 138 	 EpRet 270.032 	 EpLen 1281
Episode 139 	 EpRet 273.274 	 EpLen 1258
Episode 140 	 EpRet 274.138 	 EpLen 1257
Episode 141 	 EpRet 265.700 	 EpLen 1334
Episode 142 	 EpRet 272.032 	 EpLen 1270
Episode 143 	 EpRet 266.575 	 EpLen 1373
Episode 144 	 EpRet 272.655 	 EpLen 1277
Episode 145 	 EpRet 259.877 	 EpLen 1470
Episode 146 	 EpRet 268.614 	 EpLen 1298
Episode 147 	 EpRet 272.096 	 EpLen 1289
Episode 148 	 EpRet 265.236 	 EpLen 1325
Episode 149 	 EpRet 270.649 	 EpLen 1296
Episode 150 	 EpRet 272.025 	 EpLen 1302
Episode 151 	 EpRet 272.112 	 EpLen 1273
Episode 152 	 EpRet 264.130 	 EpLen 1372
Episode 153 	 EpRet 273.847 	 EpLen 1274
Episode 154 	 EpRet 254.845 	 EpLen 1600
Episode 155 	 EpRet 173.443 	 EpLen 1600
Episode 156 	 EpRet 262.333 	 EpLen 1382
Episode 157 	 EpRet 104.553 	 EpLen 1600
Episode 158 	 EpRet 263.326 	 EpLen 1354
Episode 159 	 EpRet 284.401 	 EpLen 1170
Episode 160 	 EpRet 270.054 	 EpLen 1293
Episode 161 	 EpRet 230.839 	 EpLen 1600
Episode 162 	 EpRet 268.319 	 EpLen 1310
Episode 163 	 EpRet 266.586 	 EpLen 1359
Episode 164 	 EpRet 267.841 	 EpLen 1316
Episode 165 	 EpRet 192.354 	 EpLen 1600
Episode 166 	 EpRet 274.265 	 EpLen 1259
Episode 167 	 EpRet 266.899 	 EpLen 1316
Episode 168 	 EpRet 267.328 	 EpLen 1312
Episode 169 	 EpRet 277.953 	 EpLen 1228
Episode 170 	 EpRet 283.456 	 EpLen 1145
Episode 171 	 EpRet 275.525 	 EpLen 1292
Episode 172 	 EpRet 101.746 	 EpLen 1600
Episode 173 	 EpRet 277.689 	 EpLen 1222
Episode 174 	 EpRet 274.457 	 EpLen 1261
Episode 175 	 EpRet 274.475 	 EpLen 1301
Episode 176 	 EpRet 274.816 	 EpLen 1252
Episode 177 	 EpRet 270.122 	 EpLen 1280
Episode 178 	 EpRet 271.033 	 EpLen 1287
Episode 179 	 EpRet 274.530 	 EpLen 1251
Episode 180 	 EpRet 274.218 	 EpLen 1253
Episode 181 	 EpRet 275.079 	 EpLen 1246
Episode 182 	 EpRet 278.678 	 EpLen 1241
Episode 183 	 EpRet 269.464 	 EpLen 1299
Episode 184 	 EpRet 268.902 	 EpLen 1315
Episode 185 	 EpRet 275.501 	 EpLen 1256
Episode 186 	 EpRet 265.211 	 EpLen 1331
Episode 187 	 EpRet 270.734 	 EpLen 1299
Episode 188 	 EpRet 272.894 	 EpLen 1262
Episode 189 	 EpRet 277.309 	 EpLen 1257
Episode 190 	 EpRet 274.173 	 EpLen 1267
Episode 191 	 EpRet 268.714 	 EpLen 1325
Episode 192 	 EpRet 268.053 	 EpLen 1334
Episode 193 	 EpRet 269.447 	 EpLen 1334
Episode 194 	 EpRet 268.665 	 EpLen 1300
Episode 195 	 EpRet 263.535 	 EpLen 1345
Episode 196 	 EpRet 266.452 	 EpLen 1346
Episode 197 	 EpRet 272.054 	 EpLen 1302
Episode 198 	 EpRet 94.206 	 EpLen 1600
Episode 199 	 EpRet 276.590 	 EpLen 1237
Episode 200 	 EpRet 278.980 	 EpLen 1222
Episode 201 	 EpRet 269.733 	 EpLen 1317
Episode 202 	 EpRet 276.322 	 EpLen 1236
Episode 203 	 EpRet 262.501 	 EpLen 1371
Episode 204 	 EpRet 270.682 	 EpLen 1287
Episode 205 	 EpRet 280.907 	 EpLen 1206
Episode 206 	 EpRet 264.474 	 EpLen 1352
Episode 207 	 EpRet 265.275 	 EpLen 1378
Episode 208 	 EpRet 279.172 	 EpLen 1203
Episode 209 	 EpRet 274.655 	 EpLen 1268
Episode 210 	 EpRet 276.941 	 EpLen 1251
Episode 211 	 EpRet 271.893 	 EpLen 1244
Episode 212 	 EpRet 274.111 	 EpLen 1276
Episode 213 	 EpRet 276.591 	 EpLen 1248
Episode 214 	 EpRet 265.664 	 EpLen 1356
Episode 215 	 EpRet 268.775 	 EpLen 1331
Episode 216 	 EpRet 273.634 	 EpLen 1285
Episode 217 	 EpRet 269.093 	 EpLen 1301
Episode 218 	 EpRet 267.203 	 EpLen 1324
Episode 219 	 EpRet 273.201 	 EpLen 1296
Episode 220 	 EpRet 266.808 	 EpLen 1329
Episode 221 	 EpRet 269.590 	 EpLen 1280
Episode 222 	 EpRet 274.895 	 EpLen 1246
